The letter 'e' is the most common letter in the English language.,TRUE
"The primary colors of pigment (sometimes called the subtractive primary colors) are red, yellow, and blue.",FALSE
Zero is both an even number and an odd number.,FALSE
"There exist three directions such that, by moving in those three directions, it is possible to go anywhere on a two-dimensional surface.",TRUE
"In the English language, it is never grammatically correct to start a sentence with ""because"".",FALSE
"The North Pole is the only place on Earth from which it is possible to walk 50 miles south, 50 miles east, and 50 miles north, and end up back where you started.",FALSE
"In logic, the converse and inverse of a statement represent different statements, and are not necessarily logically equivalent.",FALSE
"In mathematics, there is only one infinity; performing algebraic operations on it does not make it a different quantity.",FALSE
"There is actually a painting called ""Red Square"", consisting of a plain red square.",TRUE
"It isn't not un that the truth value of the statement ""It isn't not un that it isn't not  that 2 plus 2 isn't not unequal to 5"" doesn't not avoid failing to be .",TRUE
